isbn13	titulo	link_detalle	link_imagen	materia	autor	editorial	fecha_pub	id_coleccion	autor_principal	link_indice	link_resenya	precio	tipo_iva	paginas
9788499850160	Fundamentos básicos de Pedagogía Social	http://www.tirant.com/detalle?articulo=9788499850160	http://www.tirant.com/portadas/9788499850160.jpg	0300000000|0309000000|0309020000|0300000000|0319000000|	|Laura García Raga |Piedad Mª Sahuquillo Mateo	Tirant lo Blanch	11/2010	2624	Laura García Raga	http://www.tirant.com/indexes/9788499850160.txt	http://www.tirant.com/resenyas/9788499850160-resenya.txt	11.00	3	163
9788498765830	Presupuesto objetivo del concurso y fundamento de la solicitud	http://www.tirant.com/detalle?articulo=9788498765830	http://www.tirant.com/portadas/9788498765830.jpg	0100000000|0101000000|0101280000|	|Juan Hernández Martí	Tirant lo Blanch	09/2009	2708	Juan Hernández Martí	http://www.tirant.com/indexes/9788498765830.txt	http://www.tirant.com/resenyas/9788498765830-resenya.txt	13.00	3	86
9788498762693	Matrimonio homosexual y Constitución	http://www.tirant.com/detalle?articulo=9788498762693	http://www.tirant.com/portadas/9788498762693.jpg	0100000000|0101000000|0101110000|0101110200|0100000000|0107000000|0107020000|0100000000|0117000000|0117010000|	|María Martín Sánchez	Tirant lo Blanch	09/2008	39	María Martín Sánchez	http://www.tirant.com/indexes/9788498762693.txt	http://www.tirant.com/resenyas/9788498762693-resenya.txt	14.00	3	246
9788498761948	Mediación civil y mercantil en la administración de justicia	http://www.tirant.com/detalle?articulo=9788498761948	http://www.tirant.com/portadas/9788498761948.jpg	0100000000|0105000000|0105050000|0100000000|0117000000|0117010000|	|Rosa Pérez Martell	Tirant lo Blanch	09/2008	39	Rosa Pérez Martell	http://www.tirant.com/indexes/9788498761948.txt	http://www.tirant.com/resenyas/9788498761948-resenya.txt	14.00	3	174
9788498762587	La extensión de la responsabilidad a las sanciones tributarias	http://www.tirant.com/detalle?articulo=9788498762587	http://www.tirant.com/portadas/9788498762587.jpg	0100000000|0106000000|0106100000|0100000000|0117000000|0117010000|	|Miguel Ángel Martínez Lago	Tirant lo Blanch	09/2008	39	Miguel Ángel Martínez Lago	http://www.tirant.com/indexes/9788498762587.txt	http://www.tirant.com/resenyas/9788498762587-resenya.txt	25.00	3	446
9788498762273	Género , violencia y derecho	http://www.tirant.com/detalle?articulo=9788498762273	http://www.tirant.com/portadas/9788498762273.jpg	0100000000|0103000000|0103060000|0103060100|0100000000|0117000000|0117010000|0200000000|0205000000|0205080000|0200000000|0215000000|	|Patricia Laurenzo Copello |Mª Luisa Maqueda Abreu |Ana Rubio Castro |y otros	Tirant lo Blanch	09/2008	40	Patricia Laurenzo Copello	http://www.tirant.com/indexes/9788498762273.txt	http://www.tirant.com/resenyas/9788498762273-resenya.txt	21.00	3	461
9788498762716	Hacia una nueva juridiscción constitucional Estudios sobre la ley 6/2007 , de 24 de mayo de reforma de la LOTC	http://www.tirant.com/detalle?articulo=9788498762716	http://www.tirant.com/portadas/9788498762716.jpg	0100000000|0107000000|0107080000|0100000000|0117000000|0117010000|	|Marc Carrillo |Germán Fernández Farreres |Enric Fossas Espadaler |Ángel Garrorena Morales	Tirant lo Blanch	09/2008	40	Marc Carrillo	http://www.tirant.com/indexes/9788498762716.txt	http://www.tirant.com/resenyas/9788498762716-resenya.txt	20.00	3	397
9788498762709	Operación acordeón , pérdidas y concurso en la sociedad de responsabilidad limitada	http://www.tirant.com/detalle?articulo=9788498762709	http://www.tirant.com/portadas/9788498762709.jpg	0100000000|0101000000|0101170000|0101170100|0100000000|0117000000|0117010000|	|Ricardo Cabanas Trejo |Rafael Bonardell Lenzano	Tirant lo Blanch	09/2008	39	Ricardo Cabanas Trejo	http://www.tirant.com/indexes/9788498762709.txt	http://www.tirant.com/resenyas/9788498762709-resenya.txt	19.00	3	230
9788498762341	España , voz en off . Teoría y praxis de la prensa española en el contexto de la Guerra Fría	http://www.tirant.com/detalle?articulo=9788498762341	http://www.tirant.com/portadas/9788498762341.jpg	0300000000|0310000000|0310030000|0300000000|0319000000|	|Matilde Eiroa |Pilar Carrera	Tirant lo Blanch	09/2008	2686	Matilde Eiroa	http://www.tirant.com/indexes/9788498762341.txt	http://www.tirant.com/resenyas/9788498762341-resenya.txt	10.00	0	158
9788498762730	Tomo XII Esquemas de Derecho del Trabajo I	http://www.tirant.com/detalle?articulo=9788498762730	http://www.tirant.com/portadas/9788498762730.jpg	0100000000|0104000000|0104010000|0100000000|0117000000|0117010000|	|Jesús R. Mercader Uguina |Cristina Aragón Gómez |José Delgado Ruiz |Pablo Gimeno Díaz de Atauri |Patricia Nieto Rojas	Tirant lo Blanch	09/2008	2588	Jesús R. Mercader Uguina	http://www.tirant.com/indexes/9788498762730.txt	http://www.tirant.com/resenyas/9788498762730-resenya.txt	12.00	3	243
9788498761238	El crecimiento de la población mundial	http://www.tirant.com/detalle?articulo=9788498761238	http://www.tirant.com/portadas/9788498761238.jpg	0200000000|0205000000|0205020000|0200000000|0215000000|	|Jesús Javier Sánchez Barricarte	Tirant lo Blanch	09/2008	49	Jesús Javier Sánchez Barricarte	http://www.tirant.com/indexes/9788498761238.txt	http://www.tirant.com/resenyas/9788498761238-resenya.txt	35.00	3	653
