Inicio programa de registro
[ 051612 ] procesando parte.051612.10240
[ 051612 ] procesando parte.051612.10241
[ 051612 ] procesando parte.051612.10242
[ 051612 ] procesando parte.051612.10243
[ 051612 ] procesando parte.051612.10244
[ 051612 ] procesando parte.051612.10245
[ 051612 ] procesando parte.051612.10246
[ 051612 ] procesando parte.051612.10247
[ 051612 ] procesando parte.051612.10248
[ 051612 ] procesando parte.051612.10249
[ 051612 ] procesando parte.051612.1025
[ 051612 ] procesando parte.051612.10250
[ 051612 ] procesando parte.051612.10251
[ 051612 ] procesando parte.051612.10252
[ 051612 ] procesando parte.051612.10253
[ 051612 ] procesando parte.051612.10254
[ 051612 ] procesando parte.051612.10255
[ 051612 ] procesando parte.051612.10256
[ 051612 ] procesando parte.051612.10257
[ 051612 ] procesando parte.051612.10258
[ 051612 ] procesando parte.051612.10259
[ 051612 ] procesando parte.051612.1026
[ 051612 ] procesando parte.051612.10260
[ 051612 ] procesando parte.051612.10261
[ 051612 ] procesando parte.051612.10262
[ 051612 ] procesando parte.051612.10263
[ 051612 ] procesando parte.051612.10264
[ 051612 ] procesando parte.051612.10265
[ 051612 ] procesando parte.051612.10266
[ 051612 ] procesando parte.051612.10267
[ 051612 ] procesando parte.051612.10268
[ 051612 ] procesando parte.051612.10269
[ 051612 ] procesando parte.051612.1027
[ 051612 ] procesando parte.051612.10270
[ 051612 ] procesando parte.051612.10271
[ 051612 ] procesando parte.051612.10272
[ 051612 ] procesando parte.051612.10273
[ 051612 ] procesando parte.051612.10274
[ 051612 ] procesando parte.051612.10275
[ 051612 ] procesando parte.051612.10276
[ 051612 ] procesando parte.051612.10277
[ 051612 ] procesando parte.051612.10278
[ 051612 ] procesando parte.051612.10279
[ 051612 ] procesando parte.051612.1028
[ 051612 ] procesando parte.051612.10280
[ 051612 ] procesando parte.051612.10281
[ 051612 ] procesando parte.051612.10282
[ 051612 ] procesando parte.051612.10283
[ 051612 ] procesando parte.051612.10284
[ 051612 ] procesando parte.051612.10285
[ 051612 ] procesando parte.051612.10286
[ 051612 ] procesando parte.051612.10287
[ 051612 ] procesando parte.051612.10288
[ 051612 ] procesando parte.051612.10289
[ 051612 ] procesando parte.051612.1029
[ 051612 ] procesando parte.051612.10290
[ 051612 ] procesando parte.051612.10291
[ 051612 ] procesando parte.051612.10292
[ 051612 ] procesando parte.051612.10293
